"Conversion tables for placename data from http://earth-info.nga.mil/gns/html/cntry_files.html"
"You might imagine that you could edit this file in a spreadsheet, but don't -- they're all bug-for-bug compatible with ""Excel"", meaning that they corrupt data when you save as CSV"
"byte value",R1,R2,R3,R4,R5,R6
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,"1ee1"
125,,,,,,"1ee9"
126,,,,,,"1eef"
127,x,x,x,x,x,x
128,x,"0106","010a","1e5e",x,"1eac"
129,"010c","010c","1e0c","1e0c","1e0c","1ea6"
130,x,"010e","1e10","1e10",x,"1eaa"
131,x,"0104","1e0e","1e0e",x,"1ea8"
132,x,"0112","0112","0112","0112","1eae"
133,x,"0116","0120","0120","0116","1eb0"
134,x,"0118","0053+0304","0053+0304","0053+0304","1eb6"
135,"0152",x,"0152","018f","0152","0152"
136,x,"015a",x,x,"015a","1eb2"
137,x,"1e2e","0130","0130","0152+0306","1eb4"
138,x,"004c+0326",x,0053+0332 0048+0332,"0050+0304","1eb8"
139,"014a","004b+0326","011e","011e","0114","1ebe"
140,x,"016e","1e24","1e24","1e24","1ec0"
141,x,"011a",x,"012c","012c","1ec4"
142,"0150","0150",x,0053+0332 0068+0332,x,"1ec2"
143,x,"0141","201b","201b",x,"1eba"
144,x,x,x,x,x,"01a0"
145,x,"0158","0048+0327","0048+0327","0048+0327","1EC6"
146,x,"0147","0048+0331",x,x,"01AF"
147,x,"0143",x,"1e48","0143","1EEC"
148,x,"0154","0126",x,"1e46","1EE4"
149,"0160","0160","1e62","1e62","1e62","1EE6"
150,"00b6","015e","015e","015e","015e","1EF6"
151,"201d","201d","201d","201d","201d","1EF4"
152,x,"004c+0315","0174","1e6e","004d+0304","1EC8"
153,x,"0164","1e6c","1e6c","1e6c","0128"
154,x,"0162","0162","0162","0162","1ED8"
155,"0166","0047+0326","005a+0327","005a+0327","005a+0327","1ED0"
156,"017d","017d","005a+0304","005a+0304","005a+0304","1ECC"
157,x,"017b","017b",005a+0332 0048+0032,x,"1ED6"
158,x,"0179","1e94","1e94","1e94","1ED4"
159,x,"012a","012a","012a","012a","1ECA"
160,x,"0107","010b","1e5f",x,"1EAD"
161,"010d","010d","1e0d","1e0d","1e0d","1EA7"
162,x,"0064+0315","1e11","1e11",x,"1EAB"
163,x,"0105","1e0f","1e0f",x,"1EA9"
164,x,"0113","0113","0113","0113","1EAF"
165,x,"0117","0121","0117","0117","1EB1"
166,x,"0119","0073+0304","0073+0304","0073+0304","1EB7"
167,"0153",x,"0153","01dd","0153","0153"
168,x,"015b",x,x,"015b","1EB3"
169,x,"1e2f","0131","0131","0153+0306","1EB5"
170,x,"006c+0326",x,0073+0332 0068+0332,"0070+0304","1EB9"
171,"014b","006b+0326","011f","011f","0115","1EBF"
172,x,"016f","1e25","1e25","1e25","1EC1"
173,x,"011b",x,"012d","012d","1EC5"
174,"0151","0151",x,005a+0332 0068+0332,x,"1EC3"
175,x,"0142","2018","2018","2018","1EBB"
176,"00b0","00b0","00b0","00b0","00b0","00B0"
177,x,"0159","0068+0327","0068+0327","0068+0327","1EC7"
178,x,"0148","0068+0331",x,x,"01B0"
179,x,"0144",x,"1e49","0144","1EED"
180,x,"0155","0127",x,"1e47","1EE5"
181,"0161","0161","1e63","1e63","1e63","1EE7"
182,x,"015f","015f","015f","015f","1EF7"
183,"00b7","00b7","00b7","00b7","00b7","1EF5"
184,x,"006c+0315","0175","1e6f","006d+0304","1EC9"
185,x,"0074+0315","1e6d","1e6d","1e6d","0129"
186,x,"0163","0163","0163","0163","1ED9"
187,"0167","0067+0312","007a+0327","007a+0327","007a+0327","1ED1"
188,"017e","017e","007a+0304","007a+0304","007a+0304","1ECD"
189,x,"017c","017c",007a+0332 0068+0332,x,"1ED7"
190,x,"017a","1e95","1e95","1e95","1ED5"
191,x,"012b","012b","012b","012b","1ECB"
192,"00c0",x,"00c0",x,"00c0","00C0"
193,"00c1","00c1","00c1","00c1","00c1","00C1"
194,"00c2","00c2","00c2","00c2","00c2","00C2"
195,"00c3","0139","00c3",x,"00c3","00C3"
196,"00c4","00c4","00c4","00c4","00c4","1EA2"
197,"00c5","0100","0100","0100","0100","1EA0"
198,"00c6","0102",x,x,"0102","0102"
199,"00c7","00c7","00c7","00c7","00c7","00C7"
200,"00c8",x,"00c8",x,"00c8","00C8"
201,"00c9","00c9","00c9",x,"00c9","00C9"
202,"00ca","012e","00ca","00ca","00ca","00CA"
203,"00cb","00cb","00cb","00cb","00cb","1EA4"
204,"00cc",x,x,x,x,"00CC"
205,"00cd","00cd","00cd",x,"00cd","00CD"
206,"00ce","00ce","00ce","00ce","00ce","00CE"
207,"00cf","00c4","00cf","00cf","00cf","1EA5"
208,"00d0","00d0","004e+0308","014c","014c","00D0"
209,"00d1","004e+0326","00d1",x,"00d1","1EBC"
210,"00d2",x,"00d2",x,"00d2","00D2"
211,"00d3","00d3","00d3",x,"00d3","00D3"
212,"00d4","00d4","00d4","00d4","00d4","00D4"
213,"00d5","00d5","00d5",x,"00d5","00D5"
214,"00d6","00d6","00d6","00d6","00d6","1ECE"
215,"0170","0170",x,"014e","014e","1ED2"
216,"00d8","016a","016a","016a","016a","0168"
217,"00d9",x,"00d9",x,"00d9","00D9"
218,"00da","00da","00da",x,"00da","00DA"
219,"00db","0172","00db","00db","00db","00DB"
220,"00dc","00dc","00dc","00dc","00dc","1EDC"
221,"00dd","00dd",x,x,x,"00DD"
222,"00de","016c",x,"0a6e","1EF2","1EF2"
223,"00df","00df","00df","00df","1EF8","1EF8"
224,"00E1",x,"00e0",x,"00E0","00E0"
225,"00E2","00E1","00e1","00e1","00E1","00E1"
226,"00E3","00E2","00e2","00e2","00E2","00E2"
227,"00E4","013A","00e3",x,"00E3","00E3"
228,"00E5","00E4","00e4","00e4","1EA3","1EA3"
229,"00E6","0101","0101","0101","1EA1","1EA1"
230,"00E7","0103",x,x,"0103","00E7"
231,"00E8","00E7","00e7","00e7","00e7","00E8"
232,"00E9",x,"00e8",x,"00e8","00E9"
233,"00EA","00e9","00e9",x,"00e9","00EA"
234,"00EB","012f","00ea","00ea","00ea","00EB"
235,"00EC","00eb","00eb","00eb","00eb","00EC"
236,"00ED",x,x,x,x,"00ED"
237,"00EE","00ed","00ed",x,"00ed","00EE"
238,"00EF","00ee","00ee","00ee","00ee","00EF"
239,"0111","00ef","00ef","00ef","00ef","0111"
240,"00F1","0111","006e+0308","014d","014d","0111"
241,"00F2","006e+0326","00f1",x,"00f1","1EBD"
242,"00F3",x,"00f2",x,"00f2","00F2"
243,"00F4","00f3","00f3",x,"00f3","00F3"
244,"00F5","00f4","00f4","00f4","00f4","00F4"
245,"00F6","00f5","00f5",x,"00f5","00F5"
246,"0171","00f6","00f6","00f6","00f6","1ECF"
247,"00F8","0171",x,"014f","014f","1ED3"
248,"00F9","016b","016b","016b","016b","0169"
249,"00FA",x,"00f9",x,"00f9","00F9"
250,"00FB","00fa","00fa",x,"00fa","00FA"
251,"00FC","0173","00fb","00fb","00fb","00FB"
252,"00FD","00fc","00fc","00fc","00fc","1EDD"
253,"00FE","00fd",x,x,x,"00FD"
254,"00fe","016d",x,"016d","016d","1EF3"
255,"00f0",x,x,x,x,"1ef9"
